Blog	months	soon	does	put	times	coming	hours	same	nice	family	once	able	yes	yet	whole	live	give	try	man	bad	morning	wanted	full	without	job	play	friend	someone	least	ago	told	making	together	doesn	believe	far	past	during	might	free	music	makes	point	later	keep	nbsp	already	beautiful	its	stop	until	quite	saw	different	kids	stuff	thanks	room	remember	read	crazy	watch	side	girl	almost	picture	kind	person	call	heart	weeks	mean	taking	won	guess	name	nothing	mind	called	working	small	amazing	change	real	used	head	hear	decided	happened	wait	book	sometimes	hand	set	fact	check	asked	three	children	must	story	wasn	run	isn	behind	leave	open	car	seen	seems	summer	wrong	couple	video	month	pictures	lost	goes	else	idea	god	use	high	trip	baby	stay	amp	half	excited	face	talk	knew	mom	song	boy	short	gone	reading	looks	top	cool	thinking	living	yesterday	playing	party	weekend	interesting	felt	late	moment	spent	money	watching	second	along	haven	probably	saying	lots	turned	hour	funny	comes	anyway	christmas	care	wish	under	instead	couldn	thank	water	words	special	gave	fall	enjoy	rest	running	birthday	white	waiting	ones	feeling	ended	wonder	turn	food	black	talking	awesome	city	heard	happen	between	anyone	eyes	gets	hot	busy	learn	guy	ask	girls	inside	loved	boys	favorite	write	tried	whatever	group	especially	please	needed	perfect	close	however	dinner	sweet	cold	moved	sunday	move	reason	ready	knows	walk	break	early	dad	says	tonight	tomorrow	list	rather	possible	seeing	cute	fast	four	young	true	taken	wonderful	hands	either	outside	miss	definitely	super	others	loves	sleep	moving	parents	sorry	hair	saturday	town	bring	means	important	class	easy	sad	age	front	line	com	bed	matter	guys	totally	spend	looked	country	worked	body	game	seem	less	chance	share	often	phone	writing	hit	wants	experience	huge	worth	update	yeah	lives	news	bought	buy	woman	due	usually	park	although	light	played	movie	sound	needs	self	listen	child	sister	starting	minutes	project	church	band	enjoyed	eat	kid	mother	etc	event	women	seriously	company	become	american	cause	met	across	entire	future	imagine	number	plan	red	several	mine	against	walking	wouldn	five	facebook	feels	meet	visit	sitting	case	friday	shows	forward	hate	air	completely	rock	single	given	word	yourself	ride	final	exactly	fine	sort	longer	quick	door	books	problem	men	deal	joy	date	pick	sense	kept	store	understand	center	random	table	large	photo	album	cannot	lol	takes	dream	sounds	finished	stand	glad	sit	alone	business	state	piece	minute	realized	using	http	father	cut	blue	hopefully	stuck	proud	version	okay	april	weather	walked	giving	works	songs	support	death	spring	within	based	street	simple	july	wall	brought	note	upon	dance	answer	forget	serious	brother	ways	passed	paper	evening	telling	afternoon	figure	wrote	leaving	finish	middle	recently	sign	dark	hey	gonna	meant	beach	forever	listening	quickly	complete	hoping	building	headed	normal	pay	road	view	following	watched	lately	born	turns	learned	camera	august	beginning	happens	team	information	sent	stage	lady	strong	march	halloween	www	themselves	drive	october	site	dog	games	plus	known	tired	hold	smile	currently	monday	office	learning	eating	track	catch
Omar Almokhtar's Daughter	1	1	0	0	1	8	1	4	3	6	0	0	1	1	6	1	1	0	2	5	0	0	0	2	4	0	0	0	2	2	2	0	0	4	2	0	0	2	1	4	0	1	2	1	1	295	0	1	1	0	0	0	4	0	1	0	8	0	5	3	1	1	5	3	0	2	1	0	1	1	1	1	2	1	0	1	4	0	2	0	3	1	1	9	2	0	0	0	10	0	1	0	0	0	4	0	0	1	7	3	2	1	0	1	2	0	1	0	1	0	0	0	0	0	0	1	4	0	0	0	0	1	0	0	2	1	3	0	0	2	3	2	0	0	0	0	0	0	0	0	0	2	2	1	0	0	0	0	1	0	1	0	0	1	3	0	1	0	1	0	0	0	0	0	0	0	2	3	0	0	2	1	0	5	0	6	0	0	0	1	0	1	3	0	1	0	0	0	1	2	1	0	6	1	2	2	0	1	0	0	0	1	0	1	1	1	2	0	0	2	0	0	0	0	1	0	2	0	0	0	0	0	0	0	2	1	0	1	0	0	1	2	0	0	1	0	0	6	0	0	0	0	3	7	0	1	0	4	0	0	0	0	1	0	2	0	0	0	0	1	0	3	1	0	1	0	0	0	4	0	3	0	0	2	0	0	0	1	0	0	1	0	1	3	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	2	2	0	2	0	0	0	0	0	0	0	0	0	4	0	1	17	0	0	0	1	1	0	0	0	1	1	1	1	0	0	0	2	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	3	0	0	0	0	0	1	1	0	6	0	3	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	8	0	1	1	0	0	0	0	0	0	0	0	0	5	1	0	0	4	0	2	0	0	0	0	1	3	0	0	6	0	0	0	0	1	1	0	1	0	0	0	0	0	2	0	0	0	3	0	0	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	4	0	7	1	0	0	6	2	2	0	4	0	0	1	0	0	2	0	4	0	0	3	0	0	0	0	0	1	0
Paper flowers	1	4	4	4	3	1	4	6	4	2	2	4	2	1	3	7	2	3	2	6	0	1	3	2	5	2	3	2	5	1	3	5	7	2	1	0	1	4	3	5	2	2	1	2	1	74	2	3	7	0	1	2	3	4	3	2	11	1	5	3	1	6	5	4	1	5	0	4	0	0	1	0	3	5	4	3	2	1	1	4	3	0	0	4	11	2	0	0	4	1	6	2	2	5	0	3	1	1	1	3	2	1	0	4	4	3	5	0	0	0	1	2	1	2	2	6	0	5	5	4	0	9	1	2	1	2	9	5	0	4	1	2	0	1	0	0	2	3	10	4	3	1	0	0	2	5	1	1	0	2	1	1	1	2	3	1	3	0	1	2	1	0	2	8	0	1	2	0	3	8	0	13	8	0	3	1	1	1	1	0	4	13	1	2	2	0	1	1	5	11	1	11	1	2	0	3	0	1	3	15	0	2	1	2	1	3	0	1	0	3	0	1	0	2	4	0	0	1	0	0	0	1	0	0	3	0	0	0	0	0	0	2	2	0	0	0	2	1	0	4	0	0	2	2	4	2	2	2	0	2	2	10	1	0	0	1	2	4	2	2	0	2	6	4	2	0	4	7	5	1	4	0	2	2	3	0	1	0	0	4	9	0	0	0	0	0	1	2	0	0	1	4	1	2	0	0	1	4	4	0	3	1	0	2	6	1	0	0	4	2	0	0	0	0	0	2	0	0	2	0	1	0	2	8	0	2	4	0	0	2	2	0	0	1	0	0	1	2	2	2	1	0	0	0	8	3	0	2	0	0	0	1	1	1	1	1	0	2	2	0	1	0	2	2	0	1	1	0	0	0	1	0	1	0	1	1	2	1	0	1	3	4	0	1	10	2	2	8	1	3	0	1	2	1	0	1	0	0	5	1	0	15	0	0	19	3	1	0	0	5	1	0	0	0	0	2	0	5	1	0	1	1	1	4	1	3	1	1	2	2	0	3	2	1	0	0	22	0	1	0	0	0	2	3	5	0	0	4	0	6	0	1	3	2	0	2	0	0	0	1	1	0	1	2	0	0	1	1	1	9	0	2	1	2	0	0	1	0	3	0	1	3	0	0	0	0	0	3	3	0	1	2	0	2	0	3	0	0	0	0
30andhappy	0	0	3	0	1	2	1	0	1	3	1	0	0	2	0	1	0	2	8	1	0	0	1	0	1	0	2	4	0	1	1	0	2	4	0	2	3	0	0	0	1	1	0	1	0	0	1	0	12	4	1	2	0	0	1	0	0	8	0	2	1	0	3	4	0	0	2	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	2	1	0	0	0	1	8	2	0	0	0	0	0	1	0	1	0	5	1	5	0	2	5	0	2	0	2	0	0	0	0	1	0	2	0	0	1	1	0	0	0	0	1	0	1	2	0	0	1	5	0	0	0	3	1	0	0	1	0	1	0	0	0	1	2	0	0	1	0	1	0	0	0	0	0	1	1	0	0	0	0	1	0	2	2	1	0	6	0	0	0	1	1	0	11	0	2	3	2	0	0	1	1	1	0	0	0	1	0	2	1	0	3	3	1	1	2	1	1	3	0	1	2	0	0	1	1	0	0	1	1	0	2	0	0	1	0	0	1	0	0	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	2	1	0	0	0	1	0	0	2	0	6	0	0	0	0	2	1	0	0	1	0	0	0	1	0	0	0	0	4	0	0	1	0	3	0	0	0	0	4	1	0	0	0	0	0	0	0	0	1	0	0	6	0	0	2	0	1	0	0	0	0	0	1	1	3	0	0	0	0	0	0	0	0	6	0	0	0	0	0	1	0	1	0	4	0	0	1	0	0	0	0	0	1	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	3	0	0	0	0	0	1	1	0	0	0	0	0	0	1	2	0	0	0	0	2	1	1	0	1	0	1	1	1	0	1	0	0	0	0	2	1	0	0	0	1	0	0	0	0	1	0	2	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	7	0	1	0	1	4	0	0	1	0	0	0	0	2	0	0	1	1	0	0	0	0	1	0	0	1	1	0	0	1	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	1	0	0	2	1	0	0	0	0	0	0	0	3
Web Science and Digital Libraries Research Group	3	7	17	5	2	3	5	13	4	0	2	20	2	2	4	7	8	9	3	1	2	4	9	6	2	5	1	3	0	2	2	7	10	4	5	6	12	14	16	5	6	5	18	8	19	877	4	1	18	1	14	3	2	36	0	3	3	3	0	6	0	6	4	2	4	4	2	2	0	3	0	6	1	7	4	2	2	4	9	5	11	7	20	7	26	1	0	1	1	1	9	2	7	33	1	5	18	11	3	5	9	1	4	2	8	2	12	0	2	5	1	1	5	23	0	3	5	2	3	6	0	26	9	15	2	3	15	4	1	1	21	5	0	0	0	14	2	7	1	10	1	6	3	0	0	5	3	8	6	1	1	2	0	1	23	10	1	5	6	6	3	1	0	3	0	0	6	1	5	12	3	3	1	5	5	28	2	2	15	9	0	7	2	3	0	3	0	1	0	3	1	0	8	3	2	37	2	0	5	0	0	2	1	5	1	2	2	0	1	1	2	4	28	2	5	6	2	13	7	2	1	0	5	3	2	2	4	2	4	8	8	0	1	0	0	11	8	6	3	0	4	6	3	1	2	1	1	6	2	3	2	2	10	0	0	1	0	0	1	2	0	2	18	9	4	8	1	3	2	8	56	0	0	0	0	1	1	0	5	1	1	2	6	2	6	5	1	3	2	0	4	1	4	3	0	1	28	1	0	2	8	2	2	4	1	1	0	1	6	12	0	0	1	1	1	33	2	6	3	0	0	0	16	4	51	1	5	3	1	1	2	4	6	16	2	11	5	12	7	3	3	2	0	7	7	0	6	3	0	17	1	5	9	1	0	0	0	15	18	1	2	0	8	1	1	3	11	2	0	4	20	6	3	0	26	1	0	0	12	3	7	2	3	15	2	0	6	0	2	0	1	4	0	0	4	1	8	30	0	6	1	51	212	0	0	2	0	0	0	33	0	2	0	0	4	10	1	24	2	1	6	33	0	8	8	0	2	8	4	0	6	0	0	0	1	0	72	4	6	0	2	3	1	0	0	3	1	0	0	0	1	0	1	2	3	6	0	5	5	0	1	0	8	22	0	0	1	1	5	0	3	1	2	17	60	1	2	0	0	0	1	31	5	6	3	13	0	1	0	4	0	2	1	10	1	3	4	0	1	0
happy family	5	6	2	5	2	2	5	1	4	13	2	6	0	3	4	0	3	4	2	3	2	2	2	4	2	3	3	3	11	5	8	5	1	2	6	6	4	5	8	0	0	2	1	6	2	0	1	2	0	3	2	2	1	3	15	2	3	19	9	1	2	3	0	2	1	3	4	0	6	1	0	1	1	0	6	0	4	4	2	2	3	6	2	4	3	2	2	14	6	0	3	0	2	0	4	2	7	3	2	5	3	11	1	2	3	3	1	5	2	4	0	3	3	0	3	7	1	3	5	2	4	4	1	1	3	6	0	0	3	2	0	1	17	4	7	1	6	1	5	1	2	4	1	1	1	0	1	3	1	2	2	3	1	2	1	0	7	2	0	2	2	1	2	0	5	7	1	2	0	3	1	1	0	2	0	3	0	2	1	0	8	0	3	8	3	0	2	2	2	1	6	2	0	4	2	1	2	1	2	0	2	1	4	2	0	1	1	0	1	0	4	3	1	4	0	8	2	1	1	6	5	0	3	1	2	4	2	5	0	3	1	4	3	2	3	0	1	2	2	9	5	2	1	1	1	0	0	2	0	4	4	1	4	1	8	0	2	2	7	1	1	2	3	1	1	0	2	1	0	0	0	5	6	0	3	0	2	0	2	0	1	3	5	3	2	1	1	0	2	0	1	2	1	0	2	1	2	3	1	0	2	3	1	0	2	1	2	0	2	1	2	2	2	2	1	3	3	0	0	4	4	0	0	1	0	5	0	0	0	1	4	0	1	0	0	2	1	2	1	1	0	0	2	4	1	1	7	3	4	0	1	0	0	1	0	6	0	6	3	0	0	1	0	2	0	0	3	2	1	0	3	0	4	0	3	1	2	1	1	2	0	0	2	0	0	0	0	0	0	1	1	1	0	0	2	1	4	0	3	2	1	0	0	1	5	0	4	0	0	0	3	0	0	0	1	0	0	1	0	1	0	0	0	2	1	5	1	0	0	1	2	0	2	0	5	1	0	0	1	2	0	1	1	1	0	2	3	1	0	1	2	0	1	1	1	0	0	1	1	1	2	0	1	0	0	0	2	0	0	0	0	1	2	0	0	8	0	0	0	0	0	0	0	1	2	0	0	0	3	3	0	1	3	0	1	2	0	1	0	1
 I Like To Bite The Ears Off...	2	2	1	1	2	1	0	2	6	1	2	3	1	0	0	1	0	3	1	1	0	2	0	0	2	0	1	2	2	0	3	0	0	1	0	5	0	1	1	5	0	3	0	0	0	0	1	0	1	0	1	0	4	2	0	3	1	1	1	2	0	0	0	0	2	3	0	0	0	0	3	2	2	0	1	4	0	1	0	2	2	5	2	1	1	0	0	0	1	0	2	1	1	0	1	2	2	1	0	1	0	2	0	1	0	0	1	11	0	1	0	1	1	2	4	3	0	2	1	1	0	0	0	1	0	3	0	0	0	0	0	0	5	0	0	2	1	0	0	1	0	0	2	3	0	0	0	1	0	1	0	0	4	0	0	1	0	1	0	0	1	0	0	1	1	7	0	0	0	4	1	0	0	0	0	1	1	0	1	1	11	0	0	0	3	2	0	0	2	1	0	0	1	0	0	1	0	1	0	0	0	0	4	0	0	1	1	0	0	0	1	1	0	0	1	0	1	0	0	5	0	1	1	2	3	2	0	0	0	0	0	0	1	2	0	0	1	2	0	2	1	0	0	0	0	4	1	0	1	0	1	0	2	0	0	3	0	0	4	1	0	0	2	0	0	0	0	1	1	0	1	0	0	0	0	2	0	0	1	1	1	1	1	1	0	1	1	0	0	0	1	0	0	6	2	0	0	6	0	1	2	2	0	1	0	1	2	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	1	0	0	0	0	0	2	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	2	0	0	0	0	0	0	0	1	1	0	0	0	0	2	0	0	3	0	1	0	0	0	1	1	1	0	0	1	0	2	0	1	0	2	0	0	1	0	0	8	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	1	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	1	4	0	1	0	1	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Johan F. Wahlberg	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Our Life	6	3	2	2	2	1	0	1	1	14	0	0	1	2	1	2	0	0	2	3	5	1	4	0	2	2	2	1	4	3	2	1	2	1	0	1	1	1	3	0	0	3	0	1	3	41	3	4	3	3	2	2	0	1	6	1	2	2	2	1	1	0	1	1	2	1	2	1	2	2	5	0	1	1	2	0	0	3	0	1	0	2	1	0	0	3	0	1	1	4	2	0	1	0	3	0	2	3	2	1	1	1	1	0	0	2	0	1	2	1	1	0	1	0	0	9	0	1	3	1	3	1	0	0	7	2	0	4	1	2	0	1	14	0	4	1	0	2	1	0	1	3	0	2	0	1	1	0	3	1	3	0	0	4	4	1	0	2	0	1	5	2	2	4	2	0	0	2	0	2	3	4	1	2	2	0	2	1	0	2	3	2	3	0	1	3	2	2	1	0	2	1	0	2	2	1	3	0	1	1	0	0	3	1	0	1	2	2	0	1	2	3	0	1	1	2	1	1	1	1	1	1	3	2	0	1	0	1	0	1	2	1	0	0	0	0	1	1	0	0	2	2	0	1	0	1	2	0	1	0	2	0	0	8	0	2	2	0	4	1	1	0	0	0	0	0	0	1	0	0	0	4	0	0	1	3	0	0	0	0	0	0	1	0	1	0	3	1	1	0	2	2	1	1	0	0	0	1	0	0	0	3	2	0	0	2	1	1	1	0	0	4	1	0	1	0	3	0	0	4	2	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	1	0	0	1	0	2	0	0	1	0	1	1	0	0	0	2	1	0	0	2	0	0	0	0	0	0	1	2	0	2	3	0	0	0	1	0	0	2	0	1	0	0	0	1	0	0	3	0	0	0	0	0	0	1	0	1	0	2	0	0	0	1	1	0	0	2	0	0	0	0	1	0	0	3	0	0	0	0	0	3	0	0	1	0	0	0	1	0	1	0	0	0	1	0	2	5	0	0	0	0	0	1	1	0	0	2	0	0	0	1	0	0	1	0	1	2	1	0	0	1	5	0	0	0	1	0	0	0	3	0	0	1	0	1	3	1	1	1	0	1	0	0	1	0	0	1	1	0	0	0	1	0	0	0	3	0	0	0	0	3	0	0
That darn girl	3	1	1	8	13	1	2	2	3	1	6	2	3	2	5	1	3	2	9	4	1	3	3	1	2	4	4	3	1	1	10	1	1	2	2	1	2	2	9	3	0	1	2	3	3	94	0	0	1	0	3	1	1	2	2	4	0	1	3	2	11	0	2	11	2	0	11	4	2	3	3	6	2	1	2	3	6	4	1	2	0	4	2	3	5	0	1	4	0	2	0	5	2	1	1	3	3	1	0	2	2	6	0	3	1	1	2	4	6	0	1	3	2	0	0	0	0	0	3	0	0	0	3	1	2	2	0	5	2	3	14	9	1	1	0	0	3	1	2	0	0	2	2	0	0	1	0	0	6	0	1	1	0	0	2	1	4	0	0	0	1	0	9	2	2	2	7	1	0	1	6	1	3	0	0	3	2	2	1	0	0	1	0	0	0	0	4	0	1	0	8	0	1	1	4	0	6	2	0	0	0	0	22	1	1	0	10	2	1	8	3	0	2	3	2	1	1	2	1	1	2	0	0	0	0	1	0	7	1	2	2	2	0	1	0	0	0	0	4	0	1	0	1	2	1	0	2	0	0	0	1	1	4	6	3	1	0	0	3	1	0	2	0	1	1	1	2	1	2	3	0	2	2	10	1	0	0	1	1	2	0	1	0	1	0	0	1	1	0	1	4	0	1	0	4	2	1	1	0	2	1	0	0	1	4	0	0	3	1	2	1	1	0	2	0	0	0	0	0	1	1	1	0	0	2	0	0	0	0	1	0	0	0	1	0	0	0	2	0	2	0	0	4	0	0	1	3	1	1	0	0	0	0	0	1	0	1	1	0	0	2	1	0	1	0	0	1	2	2	0	1	6	0	0	7	4	1	1	0	5	0	2	1	0	0	0	0	0	0	2	1	1	1	0	1	0	0	1	1	1	0	0	0	1	7	0	0	0	0	0	3	0	0	0	3	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	2	0	4	2	0	1	0	0	5	0	2	1	0	0	0	1	1	0	0	0	1	1	3	0	0	0	4	2	0	0	0	1	0	0	0	2	1	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	4	2	1	2	1	0	1	1	0	0	1	1	1	0
sometimes i write. sometimes.	1	2	1	3	6	0	2	1	2	0	3	0	2	1	1	2	1	5	0	2	3	8	3	2	10	4	7	5	4	6	2	5	2	0	2	3	3	0	4	0	9	3	1	3	7	49	1	0	0	1	3	0	3	4	4	0	4	0	3	4	3	2	1	0	1	2	0	5	3	11	3	0	5	0	1	1	3	3	2	9	6	13	4	3	4	5	3	3	2	2	5	4	0	1	1	1	1	0	0	1	10	0	1	1	3	1	1	2	1	2	4	0	9	1	5	1	6	1	4	9	0	4	1	15	1	2	20	1	6	1	4	2	1	2	2	4	1	2	0	4	0	1	0	1	0	0	3	2	5	0	2	6	2	1	3	2	1	1	2	3	1	1	0	3	1	1	0	0	0	1	1	1	5	0	2	0	2	3	1	1	0	0	1	1	1	1	0	1	5	0	1	4	5	3	1	1	0	0	0	1	0	5	0	0	0	0	2	0	0	0	3	0	1	0	0	2	1	1	0	1	1	0	2	1	2	1	0	0	0	1	0	0	2	0	1	8	1	1	0	0	0	0	0	0	1	3	2	0	1	1	3	2	1	0	0	0	1	1	2	0	1	1	0	6	0	1	0	0	0	0	1	0	0	1	1	1	0	0	7	2	0	0	1	1	6	1	1	1	1	2	0	1	3	2	1	1	0	6	2	0	0	1	0	0	1	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	2	0	0	3	7	1	3	0	0	0	4	1	1	3	0	0	0	2	0	1	0	0	1	0	2	1	2	1	4	2	1	0	0	4	1	0	0	1	0	0	4	4	0	1	0	0	0	2	1	0	1	0	0	1	0	0	0	1	0	1	2	6	0	2	5	0	0	0	0	7	0	0	0	1	0	1	8	2	0	2	2	1	0	0	0	1	1	2	2	0	0	0	0	0	0	0	2	2	0	0	3	0	2	2	1	0	0	0	0	0	1	1	1	0	3	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	2	7	0	10	0	0	0	0	0	3	1	0	4	1	1	0	0	0	0	12	0	0	1	0	0	0	0	0	1	0	0	1	3	2	0	1	0	0	0	1	0	1	0	6	0	2	0	0	0	2
I PUBLISH, THEREFORE I AM	6	1	4	6	6	2	5	14	8	1	0	2	6	1	2	6	7	10	15	13	9	4	4	7	4	0	2	15	1	1	2	5	5	17	5	1	4	2	7	2	2	9	8	3	6	115	7	9	0	3	0	0	1	2	3	2	1	3	2	5	2	4	1	4	3	0	4	16	0	4	1	5	1	4	3	2	1	14	1	2	2	1	2	7	13	7	2	1	2	11	7	3	0	4	3	0	1	2	2	7	3	4	1	14	0	3	1	0	2	3	0	6	2	2	0	0	2	1	5	2	4	12	1	2	1	6	3	1	0	4	11	0	0	0	0	1	0	2	7	0	9	5	5	4	1	0	0	2	0	0	0	2	2	0	6	0	1	1	10	7	0	5	7	3	2	0	2	0	1	1	0	0	0	1	2	1	3	0	1	2	0	1	2	1	1	1	2	1	5	0	13	9	3	1	5	2	0	2	1	0	1	3	6	3	4	4	1	0	1	0	2	2	12	2	1	1	0	7	0	2	0	0	0	0	1	5	1	4	2	5	0	0	2	0	0	0	0	5	2	1	0	2	1	2	0	1	1	0	0	1	3	0	9	1	0	0	0	1	0	0	0	1	0	7	1	2	3	3	1	3	1	0	5	20	2	2	0	12	2	5	2	3	1	3	1	6	5	4	2	5	4	0	6	0	6	3	1	2	6	3	0	2	0	2	2	2	0	1	1	4	2	0	0	0	5	0	0	0	4	0	3	0	0	0	7	6	1	2	1	0	0	0	1	1	0	1	1	1	4	1	2	0	0	1	0	2	4	0	1	5	0	0	0	0	2	2	1	0	2	0	4	0	0	1	0	0	0	1	1	2	5	3	2	0	1	1	8	0	0	7	0	1	0	0	5	0	1	0	2	3	1	0	1	0	1	0	2	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	1	1	5	4	0	1	2	0	3	0	0	1	0	0	0	3	0	2	3	5	6	0	2	0	0	2	2	0	1	1	0	1	1	1	0	0	1	0	0	0	0	1	6	0	0	0	0	1	3	0	0	0	0	0	1	0	0	0	0	3	3	0	4	1	0	0	1	0	0	0	6	0	0	0	0	1	0	0	0	1	9	0	0	6	3	2	0	0
Maria Alda Prawitera	3	1	2	1	0	2	1	5	8	1	3	0	11	0	4	0	1	3	0	5	0	4	2	1	1	3	1	1	0	1	1	0	2	3	3	2	0	1	1	2	3	0	0	2	1	0	1	3	0	0	2	1	6	0	0	2	7	5	4	0	4	10	1	0	5	3	0	1	3	2	0	1	0	0	6	4	1	2	5	1	4	1	0	0	0	0	1	5	0	3	0	4	1	0	3	1	1	3	0	3	0	6	0	2	3	0	0	3	0	0	0	1	1	1	1	3	2	0	2	5	4	0	0	1	0	2	1	1	2	0	2	0	0	3	0	1	0	1	4	1	7	1	2	3	9	0	0	0	0	2	0	3	0	1	1	2	2	0	0	4	0	0	0	0	1	0	1	0	0	0	0	2	2	4	2	4	0	3	3	0	1	0	0	6	0	2	1	1	1	1	2	5	4	0	0	1	2	2	0	1	1	0	0	1	0	2	1	3	0	1	1	2	0	2	2	0	1	2	0	0	0	2	0	0	0	0	2	0	1	1	1	0	4	0	0	0	0	1	2	6	3	0	0	0	1	0	0	0	0	3	1	3	0	0	0	0	3	2	0	1	0	2	0	0	0	0	0	0	3	0	4	0	1	10	8	0	3	0	1	1	0	0	0	1	0	0	0	0	1	0	0	4	1	0	0	1	1	4	1	0	0	0	3	2	0	13	0	0	0	0	1	0	0	0	2	0	0	1	1	0	0	0	0	4	0	5	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	2	0	1	0	0	0	1	0	0	0	0	0	1	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	2	1	1	0	0	1	0	0	2	0	2	0	0	0	0	0	0	1	0	5	0	0	2	0	0	1	1	6	0	2	4	0	0	3	0	0	0	0	0	4	1	0	1	1	1	0	4	0	0	1	1	0	1	0	0	0	0	1	1	0	0	0	0	1	0	4	4	0	4	1	0	0	0	0	0	1	0	0	0	1	1	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	2	0	5	1	0	0	0	1	2	0	1	2	1	1	2	0	0	0	2	0	0
